Rk,Class Year,Height,Player,Team,Conf_x,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,2-point field goal percentage,3P/100,3P,3-point field goal percentage,Year,Rk_ranking,Conf_y,G,Rec,AdjOE,AdjDE,Barthag,Eff. FG% - EFG%,Eff. FG% - EFGD%,Turnover% - TOR,Turnover% - TORD,Rebound% - ORB,Rebound% - DRB,FT Rate - FTR,FT Rate - FTRD,2-Pt % - 2P%,2-Pt % - 2P%D,3-Pt % - 3P%,3-Pt % - 3P%D,3P Rate - 3PR,3P Rate - 3PRD,Adj T.,WAB,Seed,Result,Rk_stats,Adj. Eff. - Off.,Adj. Eff. - Def.,Eff. FG% - Off.,Eff. FG% - Def.,Turnover% - Off.,Turnover% - Def.,Off. Reb% - Off.,Off. Reb% - Def.,FT Rate - Off.,FT Rate - Def.,FT% - Off.,FT% - Def.,2P% - Off.,2P% - Def.,3P% - Off.,3P% - Def.
45,So,'6-2',Marcus Zegarowski,Creighton,BE,87.1,4.6,5.9,112.0,23.7,58.1,60.1,0.6,11.2,27.3,18.4,0.3,1.9,21.5,103-191,0.539,9.4,'72-172',0.419,2020,7.0,BE,31.0,'24-7',120.6,96.4,0.9289,55.2,48.4,15.9,17.6,23.9,30.2,28.8,23.4,53.0,48.9,38.7,31.8,42.7,38.4,68.3,6.1,,,2.0,120.6,96.4,55.2,48.4,15.9,17.6,23.9,30.2,28.8,23.4,74.9,70.0,53.0,48.9,38.7,31.8
46,Sr,'6-1',Ivan Gandia-Rosa,North Florida,ASun,83.8,4.6,3.1,121.2,23.2,55.1,59.7,2.5,8.9,37.1,17.8,0.1,1.8,29.0,69-127,0.543,10.8,'72-194',0.371,2020,154.0,ASun,33.0,'21-12',112.3,110.8,0.5369,54.6,50.3,17.3,15.8,26.9,31.8,28.6,28.1,52.4,51.2,37.8,31.6,52.2,24.5,69.4,-4.9,,,27.0,112.3,110.8,54.6,50.3,17.3,15.8,26.9,31.8,28.6,28.1,76.5,70.1,52.4,51.2,37.8,31.6
47,Jr,'6-10',Paul Atkinson,Yale,Ivy,79.7,4.6,7.0,119.6,24.5,63.3,65.1,8.6,17.4,10.1,14.6,2.8,2.1,50.5,191-298,0.641,0.8,'4-13',0.308,2020,74.0,Ivy,30.0,'23-7',107.8,97.8,0.7549,53.8,46.5,18.5,16.6,25.8,21.3,31.2,25.7,52.7,46.9,36.9,30.6,42.0,40.1,67.3,-0.37,,,70.0,107.8,97.8,53.8,46.5,18.5,16.6,25.8,21.3,31.2,25.7,71.9,73.3,52.7,46.9,36.9,30.6
48,Jr,'6-7',Jordan Nwora,Louisville,ACC,82.2,4.6,7.1,111.2,26.0,52.8,56.9,6.0,19.8,8.4,14.5,0.9,1.3,29.8,113-241,0.469,10.9,'76-189',0.402,2020,10.0,ACC,31.0,'24-7',115.1,94.0,0.912,52.5,45.1,18.0,17.4,32.0,25.0,32.2,29.0,50.1,45.1,37.6,30.1,38.0,41.0,66.9,4.3,,,10.0,115.1,94.0,52.5,45.1,18.0,17.4,32.0,25.0,32.2,29.0,73.1,73.0,50.1,45.1,37.6,30.1
49,Jr,'5-8',Terrell Gomez,Cal St Northridge,BW,93.8,4.6,1.8,118.1,22.4,55.4,60.0,1.0,6.7,12.4,9.9,0.0,1.3,24.2,92-211,0.436,11.6,'102-231',0.442,2020,232.0,BW,32.0,'15-17',107.4,113.5,0.3456,51.6,54.7,16.3,17.3,25.2,32.0,30.4,29.0,49.4,52.4,37.3,38.7,33.9,40.8,70.3,-10.8,,,78.0,107.4,113.5,51.6,54.7,16.3,17.3,25.2,32.0,30.4,29.0,72.6,72.1,49.4,52.4,37.3,38.7
50,So,'6-3',Immanuel Quickley,Kentucky,SEC,78.9,4.6,6.3,117.9,22.2,51.1,59.5,2.1,11.9,11.7,12.8,0.5,1.6,47.1,76-186,0.409,8.6,'62-145',0.428,2020,28.0,SEC,31.0,'25-6',112.8,95.2,0.8755,50.7,45.3,18.1,17.3,30.9,28.5,40.7,32.1,50.4,44.9,34.3,30.7,26.6,38.4,67.6,5.1,,,23.0,112.8,95.2,50.7,45.3,18.1,17.3,30.9,28.5,40.7,32.1,79.8,68.8,50.4,44.9,34.3,30.7
1,Sr,'6-11',Luka Garza,Iowa,B10,78.8,7.0,12.5,124.0,30.4,59.6,62.0,10.4,18.2,12.1,8.9,5.2,1.2,39.2,237-408,0.581,5.7,'44-100',0.44,2021,6.0,B10,31.0,'22-9',123.4,97.2,0.9398,54.7,48.8,13.3,16.1,30.9,29.1,32.0,22.2,52.6,46.6,38.6,34.8,39.8,39.5,69.8,5.5,2.0,R32,3.0,123.4,97.2,54.7,48.8,13.3,16.1,30.9,29.1,32.0,22.2,71.5,67.6,52.6,46.6,38.6,34.8
2,So,'6-1',Max Abmas,Oral Roberts,Sum,95.8,6.6,6.5,121.8,28.9,58.1,63.0,1.4,7.9,22.3,12.3,0.4,2.1,33.2,119-231,0.515,12.4,'97-224',0.433,2021,123.0,Sum,29.0,'18-11',107.8,104.3,0.5942,53.0,50.1,15.5,18.4,22.7,33.5,27.9,31.6,49.9,49.4,37.7,34.4,46.5,31.4,71.0,-4.9,15.0,Sweet Sixteen,75.0,107.8,104.3,53.0,50.1,15.5,18.4,22.7,33.5,27.9,31.6,82.2,70.1,49.9,49.4,37.7,34.4
3,Jr,'5-11',Kendric Davis,SMU,Amer,86.8,6.5,9.7,121.6,27.6,53.4,58.3,1.6,11.5,46.2,14.1,0.2,2.6,35.4,89-170,0.524,6.4,'25-67',0.373,2021,65.0,Amer,17.0,'11-6',108.7,97.4,0.7808,52.2,47.3,19.8,20.2,30.1,29.2,31.2,35.2,51.9,43.9,35.0,35.2,37.1,39.0,69.3,0.17,,,60.0,108.7,97.4,52.2,47.3,19.8,20.2,30.1,29.2,31.2,35.2,72.8,68.0,51.9,43.9,35.0,35.2
4,Fr,'6-4',Cameron Thomas,LSU,SEC,84.6,6.0,5.3,114.6,29.2,47.4,55.3,2.0,8.2,8.3,9.4,0.7,1.4,44.0,135-291,0.464,11.7,'68-209',0.325,2021,21.0,SEC,29.0,'19-10',119.8,99.5,0.8939,52.3,48.5,15.6,17.9,31.4,32.1,34.0,29.8,52.4,51.3,34.7,30.0,37.0,44.0,70.3,2.3,8.0,R32,5.0,119.8,99.5,52.3,48.5,15.6,17.9,31.4,32.1,34.0,29.8,75.1,71.4,52.4,51.3,34.7,30.0
5,So,'6-10',Drew Timme,Gonzaga,WCC,70.1,5.9,10.9,129.3,26.5,66.3,67.7,10.4,18.5,14.4,12.8,2.5,1.3,50.8,231-340,0.679,1.3,'6-22',0.273,2021,1.0,WCC,32.0,'31-1',125.9,90.9,0.9768,61.0,47.7,16.1,19.3,30.1,23.8,35.8,25.7,63.9,47.0,36.8,32.7,33.2,33.7,73.5,8.5,1.0,Finals,1.0,125.9,90.9,61.0,47.7,16.1,19.3,30.1,23.8,35.8,25.7,73.0,70.3,63.9,47.0,36.8,32.7
6,So,'6-9',Matthew Hurt,Duke,ACC,80.7,5.8,8.9,129.7,21.0,64.9,66.1,5.1,17.0,8.1,9.8,2.1,1.3,25.7,108-170,0.635,9.3,'56-126',0.444,2021,32.0,ACC,24.0,'13-11',114.9,97.1,0.8738,53.6,51.3,18.4,19.9,32.2,29.0,23.4,31.9,54.1,50.3,35.1,35.6,38.7,32.3,68.3,-1.8,,,15.0,114.9,97.1,53.6,51.3,18.4,19.9,32.2,29.0,23.4,31.9,69.1,70.6,54.1,50.3,35.1,35.6
7,Sr,'6-7',Corey Kispert,Gonzaga,WCC,79.2,5.8,10.4,131.2,20.7,64.4,67.4,3.8,13.9,9.0,10.7,1.4,1.5,24.8,118-188,0.628,10.9,'91-207',0.44,2021,1.0,WCC,32.0,'31-1',125.9,90.9,0.9768,61.0,47.7,16.1,19.3,30.1,23.8,35.8,25.7,63.9,47.0,36.8,32.7,33.2,33.7,73.5,8.5,1.0,Finals,1.0,125.9,90.9,61.0,47.7,16.1,19.3,30.1,23.8,35.8,25.7,73.0,70.3,63.9,47.0,36.8,32.7
8,Sr,'6-0',McKinley Wright IV,Colorado,P12,81.3,5.7,9.2,118.6,26.3,51.8,56.8,3.3,12.8,36.9,15.1,1.0,1.9,32.9,150-279,0.538,5.4,'28-92',0.304,2021,8.0,P12,32.0,'23-9',115.7,92.5,0.9291,52.4,47.9,17.1,19.8,30.8,25.5,29.5,29.1,50.4,46.8,37.3,33.3,36.4,35.1,66.1,4.9,5.0,R32,13.0,115.7,92.5,52.4,47.9,17.1,19.8,30.8,25.5,29.5,29.1,81.9,73.0,50.4,46.8,37.3,33.3
9,Jr,'6-5',Ayo Dosunmu,Illinois,B10,78.4,5.5,8.3,110.8,29.4,52.6,56.6,3.9,15.8,29.2,18.0,0.6,1.8,33.3,178-347,0.513,4.7,'32-83',0.386,2021,4.0,B10,31.0,'24-7',116.9,90.6,0.9491,55.6,46.5,18.1,16.1,32.2,22.1,37.9,30.1,55.4,45.1,37.2,32.9,30.0,32.6,70.5,8.8,1.0,R32,8.0,116.9,90.6,55.6,46.5,18.1,16.1,32.2,22.1,37.9,30.1,69.0,68.7,55.4,45.1,37.2,32.9
10,So,'6-1',Scotty Pippen Jr.,Vanderbilt,SEC,70.1,5.5,6.8,108.8,35.1,49.5,57.5,3.6,6.9,36.8,19.6,0.6,3.2,52.5,93-198,0.47,9.8,'43-120',0.358,2021,95.0,SEC,25.0,'9-16',108.1,100.3,0.7027,51.2,52.1,19.9,19.8,28.3,28.6,32.9,33.7,50.2,52.9,34.9,33.8,47.1,37.3,68.3,-6.1,,,70.0,108.1,100.3,51.2,52.1,19.9,19.8,28.3,28.6,32.9,33.7,73.6,71.4,50.2,52.9,34.9,33.8
11,Sr,'6-8',Sam Hauser,Virginia,ACC,85.2,5.4,9.1,123.6,22.2,61.1,63.5,3.4,21.6,11.6,9.0,1.4,1.1,16.4,84-141,0.596,11.6,'63-151',0.417,2021,22.0,ACC,25.0,'18-7',113.7,94.5,0.8938,55.4,48.0,15.0,15.2,22.7,22.6,21.7,24.7,54.9,46.2,37.5,33.9,42.7,37.5,59.7,3.5,4.0,R64,20.0,113.7,94.5,55.4,48.0,15.0,15.2,22.7,22.6,21.7,24.7,81.6,74.9,54.9,46.2,37.5,33.9
12,Fr,'7-0',Evan Mobley,USC,P12,83.6,5.4,12.6,119.4,23.4,59.5,62.4,9.7,18.8,14.1,16.6,8.7,1.4,56.6,185-301,0.615,2.1,'Dec-40',0.3,2021,7.0,P12,33.0,'25-8',114.3,90.5,0.9361,52.7,44.9,18.0,16.9,35.0,28.3,36.3,24.1,52.2,42.1,36.0,33.3,31.0,35.1,66.8,5.5,6.0,Elite Eight,17.0,114.3,90.5,52.7,44.9,18.0,16.9,35.0,28.3,36.3,24.1,64.9,73.4,52.2,42.1,36.0,33.3
13,Sr,'6-6',Chris Duarte,Oregon,P12,79.1,5.4,10.4,120.2,22.5,63.3,65.7,2.8,14.0,14.9,17.5,2.8,3.3,26.2,99-157,0.631,9.6,'61-144',0.424,2021,30.0,P12,28.0,'21-7',115.9,97.5,0.88,54.3,50.8,16.7,20.2,29.0,27.7,26.0,26.7,52.9,50.4,37.7,34.3,37.6,38.8,67.1,4.8,7.0,Sweet Sixteen,12.0,115.9,97.5,54.3,50.8,16.7,20.2,29.0,27.7,26.0,26.7,71.1,76.4,52.9,50.4,37.7,34.3
14,So,'6-2',Miles McBride,West Virginia,B12,84.3,5.3,8.8,117.9,23.0,49.3,54.3,3.7,9.2,28.6,13.2,1.0,3.2,33.9,110-252,0.437,6.4,'46-111',0.414,2021,20.0,B12,29.0,'19-10',116.1,96.5,0.8941,48.9,51.0,16.8,21.0,35.9,31.1,37.9,27.9,46.1,51.5,36.4,33.5,33.1,38.0,69.2,3.0,3.0,R32,10.0,116.1,96.5,48.9,51.0,16.8,21.0,35.9,31.1,37.9,27.9,71.9,69.0,46.1,51.5,36.4,33.5
15,Jr,'6-5',Quentin Grimes,Houston,Amer,79.4,5.3,10.0,118.2,25.3,52.3,55.8,5.4,14.1,12.6,13.5,1.2,2.6,26.5,73-178,0.41,15.4,'100-248',0.403,2021,3.0,Amer,32.0,'28-4',119.1,91.3,0.9554,50.4,43.9,16.2,21.1,39.8,27.9,31.3,41.2,49.0,43.4,34.8,29.9,42.2,37.7,64.3,4.0,2.0,Final Four,6.0,119.1,91.3,50.4,43.9,16.2,21.1,39.8,27.9,31.3,41.2,73.3,65.6,49.0,43.4,34.8,29.9
16,Sr,'6-9',Oscar da Silva,Stanford,P12,70.4,5.3,8.9,116.3,27.1,59.4,64.0,7.2,17.3,18.0,16.7,3.7,1.6,49.5,146-236,0.619,3.4,'14-45',0.311,2021,57.0,P12,27.0,'14-13',105.1,92.8,0.807,51.4,48.3,21.0,20.3,25.1,28.7,36.5,27.0,52.8,46.9,32.2,33.6,30.9,39.8,69.2,-0.6,,,114.0,105.1,92.8,51.4,48.3,21.0,20.3,25.1,28.7,36.5,27.0,71.7,74.9,52.8,46.9,32.2,33.6
17,Sr,'6-2',Alex Barcello,BYU,WCC,79.8,5.2,9.3,123.3,22.4,60.5,64.7,1.8,13.7,25.7,16.6,0.0,1.8,35.1,89-165,0.539,7.2,'50-106',0.472,2021,25.0,WCC,27.0,'20-7',112.9,94.0,0.8922,54.9,46.9,19.0,15.7,28.7,23.4,27.9,29.4,54.8,45.8,36.7,32.8,38.6,34.7,67.8,3.6,6.0,R64,23.0,112.9,94.0,54.9,46.9,19.0,15.7,28.7,23.4,27.9,29.4,73.0,68.6,54.8,45.8,36.7,32.8
18,Sr,'6-5',Terry Taylor,Austin Peay,OVC,92.6,5.2,5.2,116.7,28.2,53.9,57.5,16.4,21.0,10.3,14.9,2.9,1.9,30.6,189-332,0.569,5.0,'22-80',0.275,2021,191.0,OVC,27.0,'14-13',104.2,107.2,0.4192,50.4,54.8,21.2,22.3,35.7,29.6,29.4,32.9,50.6,54.5,33.3,36.9,35.5,37.2,66.7,-10.3,,,128.0,104.2,107.2,50.4,54.8,21.2,22.3,35.7,29.6,29.4,32.9,75.7,68.1,50.6,54.5,33.3,36.9
19,Sr,'6-9',Moses Wright,Georgia Tech,ACC,82.8,5.2,6.3,114.5,25.8,54.8,56.8,11.5,17.5,13.7,11.2,5.4,2.3,33.6,163-300,0.543,2.0,'12-30',0.4,2021,33.0,ACC,26.0,'17-9',113.8,96.2,0.8736,54.1,52.4,16.1,22.7,24.4,30.4,28.4,28.9,55.2,50.8,34.8,36.9,36.5,35.2,67.3,1.8,9.0,R64,19.0,113.8,96.2,54.1,52.4,16.1,22.7,24.4,30.4,28.4,28.9,72.6,70.5,55.2,50.8,34.8,36.9
20,Sr,'6-4',MaCio Teague,Baylor,B12,77.2,5.2,8.1,125.4,21.0,56.0,58.7,5.0,10.2,9.4,9.5,1.3,1.5,20.4,116-216,0.537,9.5,'60-152',0.395,2021,2.0,B12,30.0,'28-2',124.9,92.9,0.9677,56.5,48.9,16.5,24.4,37.3,30.6,26.5,31.3,53.2,48.7,41.3,32.9,38.4,34.3,67.7,6.7,1.0,CHAMPS,2.0,124.9,92.9,56.5,48.9,16.5,24.4,37.3,30.6,26.5,31.3,70.8,69.5,53.2,48.7,41.3,32.9
21,Sr,'6-5',Austin Reaves,Oklahoma,B12,78.7,5.1,6.4,110.9,28.4,49.4,57.9,2.8,15.1,27.0,17.7,1.0,1.5,54.1,107-209,0.512,7.1,'32-105',0.305,2021,40.0,B12,27.0,'16-11',111.7,95.8,0.8549,50.8,49.1,15.7,18.5,27.0,27.7,29.3,23.7,50.6,46.3,34.1,35.7,38.2,38.4,67.1,0.3,8.0,R32,34.0,111.7,95.8,50.8,49.1,15.7,18.5,27.0,27.7,29.3,23.7,74.5,74.9,50.6,46.3,34.1,35.7
22,Jr,'6-3',Jared Butler,Baylor,B12,75.8,5.1,10.7,117.3,26.9,57.3,59.9,1.7,11.3,27.8,20.0,1.3,3.7,24.2,100-191,0.524,11.7,'77-185',0.416,2021,2.0,B12,30.0,'28-2',124.9,92.9,0.9677,56.5,48.9,16.5,24.4,37.3,30.6,26.5,31.3,53.2,48.7,41.3,32.9,38.4,34.3,67.7,6.7,1.0,CHAMPS,2.0,124.9,92.9,56.5,48.9,16.5,24.4,37.3,30.6,26.5,31.3,70.8,69.5,53.2,48.7,41.3,32.9
23,Jr,'6-2',Davion Mitchell,Baylor,B12,80.8,5.1,9.5,122.1,21.6,61.3,62.0,1.7,8.1,28.3,20.1,1.3,3.4,21.4,95-168,0.565,8.4,'63-141',0.447,2021,2.0,B12,30.0,'28-2',124.9,92.9,0.9677,56.5,48.9,16.5,24.4,37.3,30.6,26.5,31.3,53.2,48.7,41.3,32.9,38.4,34.3,67.7,6.7,1.0,CHAMPS,2.0,124.9,92.9,56.5,48.9,16.5,24.4,37.3,30.6,26.5,31.3,70.8,69.5,53.2,48.7,41.3,32.9
24,Jr,'6-5',Taevion Kinsey,Marshall,CUSA,93.7,5.1,3.4,119.2,23.5,56.3,60.2,6.3,11.7,14.9,11.8,0.9,1.1,31.9,146-264,0.553,3.0,'19-46',0.413,2021,107.0,CUSA,22.0,'15-7',108.3,102.0,0.6675,54.8,49.9,16.3,19.8,23.8,28.2,24.2,27.5,55.5,47.7,36.0,35.9,41.0,36.1,72.7,-2.6,,,66.0,108.3,102.0,54.8,49.9,16.3,19.8,23.8,28.2,24.2,27.5,72.5,66.6,55.5,47.7,36.0,35.9
25,Sr,'5-8',Loren Cristian Jackson,Akron,MAC,88.1,5.1,4.5,109.5,33.3,46.7,52.9,2.2,7.1,35.5,15.4,0.1,1.6,33.7,95-213,0.446,12.3,'53-161',0.329,2021,119.0,MAC,23.0,'15-8',107.0,103.0,0.6097,51.5,48.6,17.0,16.4,30.0,28.8,30.7,27.3,52.7,49.3,33.4,31.6,46.3,33.7,68.2,-3.1,,,89.0,107.0,103.0,51.5,48.6,17.0,16.4,30.0,28.8,30.7,27.3,75.4,72.0,52.7,49.3,33.4,31.6
26,Sr,'6-3',Collin Gillespie,Villanova,BE,66.4,5.1,6.5,118.9,22.4,52.6,57.6,2.2,9.7,26.6,13.1,0.0,1.7,34.6,48-99,0.485,10.0,'41-109',0.376,2021,14.0,BE,25.0,'18-7',118.5,96.8,0.9107,53.2,51.0,13.7,18.4,27.7,25.7,30.0,25.6,53.4,50.7,35.3,34.3,44.8,40.5,64.1,3.1,5.0,Sweet Sixteen,7.0,118.5,96.8,53.2,51.0,13.7,18.4,27.7,25.7,30.0,25.6,76.3,69.3,53.4,50.7,35.3,34.3
27,So,'6-9',Trayce Jackson-Davis,Indiana,B10,83.0,5.0,7.1,107.3,29.3,51.7,55.8,11.0,19.8,10.8,12.8,4.8,1.3,64.7,183-354,0.517,0.0,'0-0',0.0,2021,56.0,B10,27.0,'12-15',107.8,94.8,0.8145,48.5,48.8,17.2,17.6,25.5,27.4,41.5,33.5,48.5,48.1,32.4,33.4,32.3,37.6,66.1,-1.3,,,76.0,107.8,94.8,48.5,48.8,17.2,17.6,25.5,27.4,41.5,33.5,66.5,71.7,48.5,48.1,32.4,33.4
28,So,'6-7',Hyunjung Lee,Davidson,A10,75.0,5.0,7.3,126.9,21.0,65.5,68.7,4.6,11.6,16.7,16.6,1.6,1.2,26.2,43-72,0.597,11.4,'53-115',0.461,2021,78.0,A10,22.0,'13-9',112.4,102.1,0.7524,55.3,50.0,17.3,16.1,28.1,22.4,26.9,28.6,56.9,49.7,35.7,33.7,48.4,40.4,62.9,-2.3,,,29.0,112.4,102.1,55.3,50.0,17.3,16.1,28.1,22.4,26.9,28.6,68.2,73.0,56.9,49.7,35.7,33.7
29,Sr,'6-8',Gaige Prim,Missouri St,MVC,75.1,5.0,8.3,117.7,29.6,58.7,61.9,14.0,21.9,22.1,16.5,4.5,2.3,39.3,148-250,0.592,0.2,'0-2',0.0,2021,105.0,MVC,24.0,'17-7',106.0,99.3,0.6792,54.2,47.5,18.2,14.2,23.8,22.2,30.6,28.0,55.2,46.4,35.0,33.0,38.6,33.9,68.8,-2.6,,,102.0,106.0,99.3,54.2,47.5,18.2,14.2,23.8,22.2,30.6,28.0,75.0,69.6,55.2,46.4,35.0,33.0
30,Jr,'6-1',Antoine Davis,Detroit Mercy,Horz,95.6,5.0,1.5,110.5,32.2,52.3,56.6,0.6,8.5,26.7,15.6,0.0,2.2,22.9,95-197,0.482,15.6,'83-223',0.372,2021,179.0,Horz,22.0,'12-10',107.7,108.9,0.4685,55.1,54.2,16.8,18.5,27.2,29.1,25.3,22.4,52.2,53.4,39.1,36.8,44.6,42.5,67.1,0.0,,,79.0,107.7,108.9,55.1,54.2,16.8,18.5,27.2,29.1,25.3,22.4,80.4,70.7,52.2,53.4,39.1,36.8
31,So,'6-9',Jeremiah Robinson-Earl,Villanova,BE,85.8,5.0,6.8,114.1,24.1,53.4,55.8,8.6,21.2,13.5,11.8,2.3,1.7,26.9,132-230,0.574,5.8,'23-82',0.28,2021,14.0,BE,25.0,'18-7',118.5,96.8,0.9107,53.2,51.0,13.7,18.4,27.7,25.7,30.0,25.6,53.4,50.7,35.3,34.3,44.8,40.5,64.1,3.1,5.0,Sweet Sixteen,7.0,118.5,96.8,53.2,51.0,13.7,18.4,27.7,25.7,30.0,25.6,76.3,69.3,53.4,50.7,35.3,34.3
32,Sr,'6-0',Jose Alvarado,Georgia Tech,ACC,90.6,4.9,7.3,117.8,20.6,58.8,62.3,2.5,9.4,21.0,16.1,0.1,4.5,28.7,95-161,0.59,7.2,'46-118',0.39,2021,33.0,ACC,26.0,'17-9',113.8,96.2,0.8736,54.1,52.4,16.1,22.7,24.4,30.4,28.4,28.9,55.2,50.8,34.8,36.9,36.5,35.2,67.3,1.8,9.0,R64,19.0,113.8,96.2,54.1,52.4,16.1,22.7,24.4,30.4,28.4,28.9,72.6,70.5,55.2,50.8,34.8,36.9
33,Sr,'6-4',JaQuori McLaughlin,UC Santa Barbara,BW,81.6,4.9,8.5,120.9,25.5,55.6,61.0,2.8,10.2,32.6,14.6,0.5,2.8,42.8,96-180,0.533,7.2,'39-98',0.398,2021,70.0,BW,27.0,'22-5',108.4,97.5,0.7713,52.6,47.8,16.4,20.5,28.2,24.3,35.3,27.3,53.2,47.0,34.3,33.1,34.0,31.4,65.3,0.12,12.0,R64,64.0,108.4,97.5,52.6,47.8,16.4,20.5,28.2,24.3,35.3,27.3,76.3,75.9,53.2,47.0,34.3,33.1
34,So,'6-2',Grant Sherfield,Nevada,MWC,87.0,4.9,6.1,110.1,28.9,49.4,56.3,1.0,10.7,38.8,16.5,0.0,2.6,42.0,102-220,0.464,8.0,'45-123',0.366,2021,104.0,MWC,26.0,'16-10',107.8,100.7,0.6866,51.3,48.4,18.3,17.8,24.3,24.3,38.9,41.4,50.0,46.9,35.5,33.6,39.3,43.5,70.1,-2.8,,,74.0,107.8,100.7,51.3,48.4,18.3,17.8,24.3,24.3,38.9,41.4,76.3,71.2,50.0,46.9,35.5,33.6
35,Sr,'6-7',Jermaine Samuels,Villanova,BE,72.9,4.9,7.5,124.9,20.7,54.4,60.2,7.2,19.1,16.4,10.9,1.2,1.2,45.1,73-136,0.537,5.8,'26-70',0.371,2021,14.0,BE,25.0,'18-7',118.5,96.8,0.9107,53.2,51.0,13.7,18.4,27.7,25.7,30.0,25.6,53.4,50.7,35.3,34.3,44.8,40.5,64.1,3.1,5.0,Sweet Sixteen,7.0,118.5,96.8,53.2,51.0,13.7,18.4,27.7,25.7,30.0,25.6,76.3,69.3,53.4,50.7,35.3,34.3
36,Jr,'6-2',Marcus Carr,Minnesota,B10,88.3,4.9,6.3,106.5,28.3,45.1,51.7,2.1,10.0,31.5,13.0,0.4,2.1,42.9,114-263,0.433,10.2,'60-189',0.317,2021,66.0,B10,29.0,'14-15',107.2,96.2,0.776,45.0,49.7,15.6,19.0,29.2,31.4,36.7,34.3,46.7,48.3,28.4,35.2,40.7,31.7,70.2,-1.2,,,88.0,107.2,96.2,45.0,49.7,15.6,19.0,29.2,31.4,36.7,34.3,74.1,69.5,46.7,48.3,28.4,35.2
37,So,'6-7',E.J. Liddell,Ohio St,B10,68.0,4.9,7.5,114.2,27.3,51.5,56.7,7.2,18.4,13.0,11.9,4.1,1.3,50.8,131-253,0.518,5.5,'27-80',0.338,2021,11.0,B10,31.0,'21-10',120.4,97.3,0.9204,52.9,48.7,15.5,14.7,29.3,27.0,37.2,33.5,52.2,47.2,36.0,34.0,39.2,38.4,66.6,6.0,2.0,R64,4.0,120.4,97.3,52.9,48.7,15.5,14.7,29.3,27.0,37.2,33.5,75.6,70.8,52.2,47.2,36.0,34.0
38,Sr,'6-1',Jalen Crutcher,Dayton,A10,92.9,4.8,2.9,108.9,26.5,54.0,57.9,1.2,9.3,28.1,17.8,0.1,1.2,36.7,96-182,0.527,8.5,'48-129',0.372,2021,92.0,A10,24.0,'14-10',107.8,99.6,0.7127,55.5,48.5,21.2,17.5,23.0,29.0,33.7,26.3,55.3,48.7,37.2,32.2,41.6,37.8,65.2,-2.1,,,77.0,107.8,99.6,55.5,48.5,21.2,17.5,23.0,29.0,33.7,26.3,71.3,63.4,55.3,48.7,37.2,32.2
39,Sr,'6-10',Nate Watson,Providence,BE,79.2,4.8,6.0,118.5,22.9,60.2,61.2,9.0,14.4,5.0,10.1,3.2,0.6,42.1,180-299,0.602,0.0,'0-0',0.0,2021,58.0,BE,26.0,'13-13',107.6,95.2,0.8019,48.3,48.6,17.2,16.8,29.1,29.9,31.6,30.1,48.5,50.6,32.0,29.7,33.6,33.8,66.5,-2.1,,,82.0,107.6,95.2,48.3,48.6,17.2,16.8,29.1,29.9,31.6,30.1,70.0,69.9,48.5,50.6,32.0,29.7
40,So,'6-6',Justin Champagnie,Pittsburgh,ACC,78.1,4.8,7.5,115.0,24.6,51.6,54.9,10.8,25.6,10.4,10.3,4.3,2.0,34.4,111-208,0.534,6.3,'23-74',0.311,2021,98.0,ACC,22.0,'10-12',107.8,100.2,0.698,48.8,50.0,18.3,17.5,34.5,26.1,36.9,33.2,47.8,51.1,33.9,32.2,33.2,40.5,68.5,-3.9,,,73.0,107.8,100.2,48.8,50.0,18.3,17.5,34.5,26.1,36.9,33.2,66.4,70.8,47.8,51.1,33.9,32.2
41,So,'7-0',Kofi Cockburn,Illinois,B10,66.7,4.8,8.1,117.9,27.4,65.4,63.7,15.6,24.0,1.3,13.2,4.8,0.7,66.4,214-327,0.654,0.0,'0-0',0.0,2021,4.0,B10,31.0,'24-7',116.9,90.6,0.9491,55.6,46.5,18.1,16.1,32.2,22.1,37.9,30.1,55.4,45.1,37.2,32.9,30.0,32.6,70.5,8.8,1.0,R32,8.0,116.9,90.6,55.6,46.5,18.1,16.1,32.2,22.1,37.9,30.1,69.0,68.7,55.4,45.1,37.2,32.9
42,Sr,'6-6',Eugene Omoruyi,Oregon,P12,76.4,4.8,7.2,111.3,29.0,53.1,56.8,8.8,12.7,15.0,15.4,2.2,2.9,32.5,133-258,0.516,7.4,'41-108',0.38,2021,30.0,P12,28.0,'21-7',115.9,97.5,0.88,54.3,50.8,16.7,20.2,29.0,27.7,26.0,26.7,52.9,50.4,37.7,34.3,37.6,38.8,67.1,4.8,7.0,Sweet Sixteen,12.0,115.9,97.5,54.3,50.8,16.7,20.2,29.0,27.7,26.0,26.7,71.1,76.4,52.9,50.4,37.7,34.3
